老矫,,困档(N),版档(E),吝缴扁拘,檬加(m/s),矫加(km/h),碍浅馆版(km)[抗寇馆版],碍档,农扁,柳青规氢,捞悼加档(km/h),70% 犬伏 馆版(km)
2021斥 06岿 24老 03矫,12,19.7,139.7,996,20,72,160,-,家屈,合合辑,10,60
2021斥 06岿 24老 03矫,24,21,139.2,994,21,76,170,-,家屈,合合辑,13,110
2021斥 06岿 24老 03矫,36,22.8,139,992,23,83,180,-,家屈,合,17,140
2021斥 06岿 24老 03矫,48,25.2,139.1,985,27,97,190,吝,家屈,合,22,170
2021斥 06岿 24老 03矫,72,29.6,141.2,990,24,86,180,-,家屈,合合悼,22,230
2021斥 06岿 24老 03矫,96,36.3,146,996,20,72,0,-,-,合合悼,36,0
2021斥 06岿 24老 09矫,0,19.3,140,996,20,72,160,-,家屈,合合辑,12,null
2021斥 06岿 24老 09矫,12,20.3,139.4,994,21,76,170,-,家屈,合合辑,10,60
2021斥 06岿 24老 09矫,24,21.8,139.1,992,23,83,180,-,家屈,合合辑,14,110
2021斥 06岿 24老 09矫,36,23.8,138.9,985,27,97,190,吝,家屈,合,19,140
2021斥 06岿 24老 09矫,48,26.1,139.4,985,27,97,190,吝,家屈,合,22,170
2021斥 06岿 24老 09矫,72,31.3,142.3,990,24,86,180,-,家屈,合合悼,25,230
2021斥 06岿 24老 09矫,96,37.4,146.8,998,19,68,0,-,-,合合悼,40,0
2021斥 06岿 24老 15矫,0,19.1,139.8,992,23,83,170,-,家屈,辑,4,null
2021斥 06岿 24老 15矫,12,20.5,139.2,990,24,86,180,-,家屈,合合辑,14,60
2021斥 06岿 24老 15矫,24,22.4,138.9,985,27,97,190,吝,家屈,合,18,110
2021斥 06岿 24老 15矫,36,24.5,139,985,27,97,190,吝,家屈,合,19,140
2021斥 06岿 24老 15矫,48,26.6,139.5,985,27,97,190,吝,家屈,合合悼,20,170
2021斥 06岿 24老 15矫,72,31.5,142.5,992,23,83,180,-,家屈,合合悼,26,230
2021斥 06岿 24老 15矫,96,38.3,148,998,19,68,0,-,-,合合悼,38,0
2021斥 06岿 24老 21矫,0,19.7,139.7,992,23,83,170,-,家屈,合合辑,14,null
2021斥 06岿 24老 21矫,12,21.3,139.1,990,24,86,190,-,家屈,合合辑,15,55
2021斥 06岿 24老 21矫,24,23.2,138.7,985,27,97,190,吝,家屈,合,18,110
2021斥 06岿 24老 21矫,36,24.9,138.8,985,27,97,190,吝,家屈,合,16,140
2021斥 06岿 24老 21矫,48,27.5,139.5,985,27,97,190,吝,家屈,合合悼,25,170
2021斥 06岿 24老 21矫,72,32.2,142.7,992,23,83,180,-,家屈,合合悼,25,230
2021斥 06岿 24老 21矫,96,39.7,149.8,998,19,68,0,-,-,合悼,44,0
2021斥 06岿 25老 03矫,0,20.2,139.6,992,23,83,170,-,家屈,合合辑,8,null
2021斥 06岿 25老 03矫,12,21.8,139.1,990,24,86,180,-,家屈,合合辑,15,55
2021斥 06岿 25老 03矫,24,23.5,138.9,985,27,97,190,吝,家屈,合,16,110
2021斥 06岿 25老 03矫,36,25.5,139,985,27,97,190,吝,家屈,合,18,140
2021斥 06岿 25老 03矫,48,27.7,140.1,985,27,97,190,吝,家屈,合合悼,22,170
2021斥 06岿 25老 03矫,72,34.2,144.3,994,21,76,170,-,家屈,合合悼,34,230
2021斥 06岿 25老 03矫,96,39.9,152,998,19,68,0,-,-,合悼,39,0
2021斥 06岿 25老 09矫,0,20.8,139.3,990,24,86,180,-,家屈,合辑,15,null
2021斥 06岿 25老 09矫,12,22.8,138.7,985,27,97,190,吝,家屈,合合辑,19,60
2021斥 06岿 25老 09矫,24,24.3,138.6,985,27,97,190,吝,家屈,合,14,110
2021斥 06岿 25老 09矫,36,26.1,139.2,985,27,97,190,吝,家屈,合合悼,17,140
2021斥 06岿 25老 09矫,48,29,140.8,990,24,86,180,-,家屈,合合悼,31,170
2021斥 06岿 25老 09矫,72,35.8,146.2,996,20,72,0,-,-,合悼,43,0
2021斥 06岿 25老 15矫,0,21.8,139,985,27,97,190,吝,家屈,合合辑,20,null
2021斥 06岿 25老 15矫,12,23.4,138.8,985,27,97,190,吝,家屈,合,15,60
2021斥 06岿 25老 15矫,24,25,139,985,27,97,190,吝,家屈,合,15,110
2021斥 06岿 25老 15矫,36,27.2,139.7,985,27,97,190,吝,家屈,合合悼,21,140
2021斥 06岿 25老 15矫,48,31,141.7,990,24,86,180,-,家屈,合合悼,38,170
2021斥 06岿 25老 15矫,72,38.8,146.8,996,20,72,0,-,-,合合悼,41,0
2021斥 06岿 25老 21矫,0,22.8,138.9,985,27,97,190,吝,家屈,合,19,null
2021斥 06岿 25老 21矫,12,24.6,138.9,980,29,104,200,吝,家屈,合,17,60
2021斥 06岿 25老 21矫,24,26.5,139.4,980,29,104,200,吝,家屈,合合悼,18,110
2021斥 06岿 25老 21矫,36,29.4,140.8,985,27,97,190,吝,家屈,合合悼,29,140
2021斥 06岿 25老 21矫,48,33.7,143.2,990,24,86,180,-,家屈,合合悼,44,170
2021斥 06岿 25老 21矫,72,40.7,150.6,996,20,72,0,-,-,合悼,42,0
2021斥 06岿 26老 03矫,0,23.7,139.1,985,27,97,190,吝,家屈,合,19,null
2021斥 06岿 26老 03矫,12,25.8,139.6,980,29,104,200,吝,家屈,合合悼,20,60
2021斥 06岿 26老 03矫,24,28.1,140.3,985,27,97,190,吝,家屈,合合悼,22,110
2021斥 06岿 26老 03矫,36,31.8,142.3,990,24,86,180,-,家屈,合合悼,38,140
2021斥 06岿 26老 03矫,48,36.7,145.2,992,23,83,170,-,家屈,合合悼,50,170
2021斥 06岿 26老 03矫,72,41.2,153,996,20,72,0,-,-,合悼,35,0
2021斥 06岿 26老 09矫,0,24.8,139.6,985,27,97,190,吝,家屈,合合悼,28,null
2021斥 06岿 26老 09矫,12,27.3,140.3,985,27,97,190,吝,家屈,合合悼,24,60
2021斥 06岿 26老 09矫,24,30,141.4,990,24,86,180,-,家屈,合合悼,26,110
2021斥 06岿 26老 09矫,36,34.2,144,992,23,83,170,-,家屈,合合悼,44,140
2021斥 06岿 26老 09矫,48,38.6,147.9,996,20,72,0,-,-,合悼,50,0
2021斥 06岿 26老 15矫,0,25.8,139.9,985,27,97,190,吝,家屈,合,26,null
2021斥 06岿 26老 15矫,12,28.5,140.7,985,27,97,190,吝,家屈,合合悼,26,60
2021斥 06岿 26老 15矫,24,32,142.5,990,24,86,180,-,家屈,合合悼,43,110
2021斥 06岿 26老 15矫,36,36.5,145.4,994,21,76,170,-,家屈,合合悼,47,140
2021斥 06岿 26老 15矫,48,40,151,996,20,72,0,-,-,合悼,52,0
2021斥 06岿 26老 21矫,0,26.8,140.1,985,27,97,190,吝,家屈,合,26,null
2021斥 06岿 26老 21矫,12,30.2,141.5,985,27,97,190,吝,家屈,合合悼,33,60
2021斥 06岿 26老 21矫,24,34.2,143.7,990,24,86,180,-,家屈,合合悼,47,110
2021斥 06岿 26老 21矫,36,38.5,148.4,994,21,76,0,-,-,合悼,61,0
2021斥 06岿 27老 03矫,0,28.3,140.8,990,24,86,190,-,家屈,合合悼,31,null
2021斥 06岿 27老 03矫,12,32.3,143.1,992,23,83,180,-,家屈,合合悼,41,60
2021斥 06岿 27老 03矫,24,36.7,146.6,994,21,76,170,-,家屈,合合悼,49,110
2021斥 06岿 27老 03矫,36,40.2,150.8,996,20,72,0,-,-,合悼,45,0
2021斥 06岿 27老 09矫,0,29.9,141.6,992,23,83,180,-,家屈,合合悼,34,null
2021斥 06岿 27老 09矫,12,34.2,144.2,994,21,76,0,-,-,合合悼,45,0
2021斥 06岿 27老 15矫,0,31.8,142.4,994,21,76,170,-,家屈,合合悼,40,null
2021斥 06岿 27老 15矫,12,36.4,146.1,994,21,76,0,-,-,合悼,44,0
2021斥 06岿 27老 21矫,0,33.6,143.7,996,20,72,0,-,-,合合悼,41,null
